1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 766.2200, 761.7322, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 37.6800, 36.8800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 483, 1325, 154
766.6077, 762.0872, 761.8897, 761.7722, 760.9671, 758.9170, 759.5220, 760.8847, 37.6800, 36.9333, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1313, 280
766.5776, 762.0347, 762.0573, 761.9248, 761.1772, 759.0445, 759.5771, 761.0222, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1298, 429
766.3226, 761.6872, 761.6372, 761.5347, 761.1622, 759.1021, 759.7946, 761.1271, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1286, 532
766.1701, 761.6472, 761.5647, 761.4372, 760.7147, 758.5745, 759.7946, 761.1271, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1274, 655
765.8401, 761.6197, 761.8997, 761.8997, 761.0646, 759.0195, 759.6021, 760.9671, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1262, 805
765.6076, 762.2473, 762.7747, 762.9149, 762.0623, 759.9896, 760.5796, 761.7172, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1238, 1032
766.1701, 762.7823, 763.7649, 764.1224, 763.2624, 761.1797, 761.6622, 762.7373, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1226, 1181
766.0950, 762.7098, 763.8398, 764.2499, 763.4548, 761.3072, 761.9097, 762.8323, 37.7333, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1211, 1332
766.0301, 762.7348, 763.8799, 764.2850, 763.6674, 761.5347, 762.0598, 763.0874, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1199, 1480
766.2676, 762.7498, 763.9250, 764.2475, 763.5874, 761.4597, 762.0273, 763.0923, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1187, 1632
766.5051, 762.8698, 763.5974, 763.7624, 763.1048, 760.8922, 761.4497, 762.5549, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1172, 1782
766.7551, 763.0999, 763.5874, 763.7249, 762.9473, 760.8122, 761.3472, 762.4148, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1157, 1932
766.9377, 763.2998, 763.6499, 763.6224, 762.7624, 760.4871, 761.3096, 762.2947, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 483, 1136, 2157
781.4389, 775.6734, 767.0652, 766.1575, 764.0198, 761.2871, 761.6022, 762.3398, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 472, 1112, 2383
789.3646, 780.1663, 772.7681, 769.5779, 766.3652, 762.9323, 762.4798, 762.9399, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 420, 1088, 2607
790.1371, 778.3836, 773.1857, 770.0704, 766.8677, 763.3499, 762.6724, 762.6998, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 368, 1070, 2756
787.2444, 775.3708, 772.3631, 768.8679, 765.9876, 762.5848, 761.9197, 762.0397, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 327, 1055, 2906
783.7341, 771.9681, 770.3630, 767.3002, 764.7524, 761.5372, 761.0422, 761.2822, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 286, 1037, 3056
784.9467, 772.2706, 769.2304, 766.2327, 764.0099, 760.9121, 760.5471, 760.8947, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 260, 1022, 3207
786.4768, 772.7207, 768.9678, 765.9951, 763.7024, 760.5171, 760.2771, 760.5796, 37.6800, 36.8800, 37.5200, 36.8800, 36.7200, 37.8400, 37.2000, 37.5200, 236, 1007, 3356
