1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 752.2590, 759.0695, 775.0034, 764.9575, 758.0469, 752.7565, 755.1892, 754.9566, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1328, 100
752.2039, 759.0395, 774.1483, 764.0049, 757.5718, 752.1889, 754.7717, 754.5716, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1304, 317
752.0789, 758.2693, 772.6057, 763.2274, 757.1293, 751.8889, 754.4641, 754.3066, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1289, 470
752.0564, 758.3318, 771.6456, 763.3974, 757.2268, 751.9914, 754.5417, 754.3316, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1265, 693
752.0689, 758.2519, 771.6155, 763.5474, 757.4568, 752.1814, 754.7666, 754.6440, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1247, 844
752.0314, 758.4844, 771.5731, 762.9898, 757.0368, 751.8613, 754.4092, 754.2591, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1223, 1072
752.0339, 758.3145, 771.3955, 762.5872, 756.7643, 751.5989, 754.2741, 754.1266, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1208, 1219
751.9814, 758.2894, 771.2456, 762.3498, 756.5543, 751.3389, 753.8765, 753.6315, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1190, 1370
752.0739, 758.3220, 771.6580, 763.0073, 757.0418, 751.8064, 754.3342, 754.1891, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1175, 1520
752.0564, 758.2144, 772.1806, 763.9449, 757.7693, 752.4765, 754.5740, 754.4191, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1157, 1669
752.1639, 758.3244, 773.5707, 765.9700, 759.2145, 753.7415, 756.2068, 756.0742, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.3067, 37.6800, 483, 1142, 1820
752.2165, 758.5519, 774.5308, 766.5352, 759.3696, 753.8466, 756.2267, 755.9717, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1127, 1969
752.2390, 758.8669, 775.0108, 766.3851, 759.2395, 753.7015, 756.0392, 755.7892, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.3067, 37.6800, 483, 1109, 2118
752.2764, 758.9520, 775.2634, 766.2976, 759.2220, 753.6765, 756.0567, 755.7542, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3067, 37.6800, 483, 1094, 2272
752.3364, 759.1396, 776.1384, 766.3376, 759.2170, 753.6390, 756.0242, 755.7342, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 1076, 2420
752.3089, 759.0020, 775.8734, 766.3401, 759.1619, 753.6990, 756.0717, 755.8018, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.2533, 37.6800, 483, 1061, 2571
752.2939, 758.7845, 775.5484, 767.3577, 759.7670, 754.1766, 756.5143, 756.2267, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.2000, 37.6800, 483, 1046, 2719
752.2814, 758.7770, 775.6033, 766.9802, 759.5695, 754.1165, 756.4743, 756.1617, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3067, 37.6800, 483, 1028, 2870
752.2839, 758.7170, 775.4009, 767.3102, 759.7495, 754.3641, 756.7343, 756.5143, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 1013, 3019
752.3339, 758.9944, 775.7209, 767.1852, 759.7496, 754.3965, 756.7117, 756.5218, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.3067, 37.6800, 483, 998, 3169
752.3389, 758.8570, 775.6059, 767.0176, 759.6121, 754.2766, 756.6718, 756.3868, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 980, 3319
752.2889, 759.0145, 775.9185, 767.2202, 759.5720, 754.2266, 756.5344, 756.1717, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 965, 3469
752.3239, 759.1670, 776.1009, 766.8926, 759.3845, 753.9791, 756.3318, 756.0642, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 947, 3618
752.3215, 759.0820, 776.2410, 766.7952, 759.3195, 753.9265, 756.3792, 756.0367, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 932, 3771
752.3740, 759.1619, 775.8759, 766.6551, 759.2896, 753.9416, 756.3942, 756.1042, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 917, 3920
752.3640, 758.8669, 775.9959, 766.8577, 759.4295, 754.1541, 756.5293, 756.2518, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 899, 4071
752.3364, 758.9771, 775.8109, 767.9053, 760.0971, 754.6416, 756.9617, 756.7493, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 884, 4218
752.2689, 759.0195, 776.6559, 767.9977, 760.1396, 754.6741, 757.0793, 756.7393, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 866, 4369
752.3140, 759.0070, 776.9810, 767.6477, 759.8996, 754.4941, 756.8718, 756.5493, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 851, 4520
752.3164, 759.1920, 776.8135, 767.4752, 759.7646, 754.3941, 756.7868, 756.4843, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 836, 4669
752.3640, 758.9795, 776.7859, 767.5078, 759.7145, 754.3441, 756.7618, 756.3442, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 818, 4819
752.3740, 759.1570, 776.4660, 767.5677, 759.6445, 754.2466, 756.6293, 756.2793, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 803, 4969
752.4239, 759.2546, 776.4959, 766.9326, 759.3195, 753.9741, 756.3318, 756.0193, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 785, 5118
752.3614, 759.3270, 776.5560, 766.6677, 759.1721, 753.8391, 756.1968, 755.8767, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 770, 5269
752.3840, 759.2220, 776.2635, 766.2876, 758.9095, 753.6165, 756.0042, 755.6367, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 755, 5420
752.3765, 759.1770, 776.1110, 766.8376, 759.1096, 753.7466, 756.0093, 755.6192, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 737, 5569
752.3789, 759.3120, 776.2334, 766.4951, 758.9170, 753.5391, 755.8542, 755.4617, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 722, 5718
752.3989, 759.2920, 776.0710, 766.3326, 758.7945, 753.4691, 755.7792, 755.4343, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 704, 5869
752.4139, 759.3195, 776.0560, 766.0901, 758.6919, 753.3765, 755.6942, 755.3667, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 689, 6018
752.3814, 759.1895, 775.8409, 766.2101, 758.6819, 753.3890, 755.7042, 755.3667, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.3600, 37.6800, 483, 674, 6169
752.3589, 759.2395, 775.9185, 766.6652, 758.8919, 753.5366, 755.7492, 755.3618, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 656, 6319
752.3840, 759.3096, 776.1359, 766.4001, 758.7344, 753.3340, 755.6418, 755.2867, 37.0400, 36.8800, 37.5200, 37.0400, 36.8800, 38.0000, 37.3600, 37.6800, 483, 641, 6469
752.3189, 759.2770, 776.0384, 766.3701, 758.6745, 753.2690, 755.6216, 755.2917, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 626, 6619
752.3064, 759.2870, 776.0359, 766.2601, 758.5645, 753.2365, 755.5417, 755.2567, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 608, 6768
752.3115, 759.1445, 775.9934, 766.2000, 758.6094, 753.2515, 755.5567, 755.2692, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 593, 6918
752.3189, 759.1995, 775.9534, 767.0202, 758.9695, 753.5165, 755.7243, 755.3616, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 575, 7069
752.3189, 759.3345, 776.1834, 766.8652, 758.9720, 753.5640, 755.7892, 755.4717, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.3600, 37.6800, 483, 560, 7218
752.3115, 759.3145, 776.9985, 767.0727, 759.0495, 753.6140, 755.9243, 755.5617, 37.0400, 36.8800, 37.5200, 37.0933, 36.8800, 38.0000, 37.3600, 37.6800, 483, 542, 7369
752.3414, 759.5845, 777.1185, 766.9052, 759.0320, 753.5515, 755.8267, 755.5367, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 527, 7519
752.4315, 759.5845, 777.5861, 767.0502, 759.1520, 753.6365, 755.9517, 755.7092, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 512, 7668
752.3689, 759.4045, 777.1536, 767.4453, 759.3370, 753.8865, 756.1367, 755.7892, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 494, 7818
752.3364, 759.4946, 777.2236, 767.7102, 759.4221, 753.9166, 756.0767, 755.7892, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 483, 479, 7969
752.4214, 759.7195, 777.8961, 767.2127, 759.2045, 753.7291, 756.0042, 755.6817, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 483, 461, 8118
752.4365, 759.7845, 778.0086, 766.8752, 759.0320, 753.6040, 755.9142, 755.6242, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 481, 446, 8268
752.4590, 759.8146, 777.6486, 766.4902, 758.8345, 753.4365, 755.8343, 755.5467, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 480, 431, 8418
752.4689, 759.8296, 777.7811, 766.3826, 758.6844, 753.3940, 755.7942, 755.4792, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 480, 413, 8569
752.4614, 759.8096, 777.8660, 767.0002, 758.9944, 753.5565, 755.8193, 755.4792, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 480, 398, 8718
752.4714, 760.1696, 777.9836, 766.5651, 758.7745, 753.3640, 755.6216, 755.3492, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3067, 37.6800, 480, 383, 8868
752.4665, 760.1570, 778.6536, 766.4702, 758.6394, 753.2465, 755.6467, 755.2791, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 476, 365, 9019
752.5315, 760.1570, 778.7087, 766.3876, 758.7995, 753.3589, 755.7817, 755.4317, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 471, 350, 9168
752.5264, 760.0896, 778.3611, 765.8976, 758.4795, 753.1516, 755.5867, 755.2667, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 465, 332, 9318
752.5414, 760.0745, 778.2761, 766.6902, 758.9420, 753.4790, 755.8042, 755.3892, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 460, 317, 9468
752.5490, 760.1946, 778.3411, 766.4551, 758.8095, 753.3140, 755.7318, 755.3592, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 455, 302, 9618
752.5139, 760.1721, 778.5962, 766.6777, 758.9870, 753.4240, 755.8892, 755.4917, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 446, 275, 9844
752.4839, 759.9796, 778.4485, 766.3326, 758.7595, 753.3015, 755.7642, 755.3467, 37.0400, 36.8800, 37.5200, 37.1467, 36.8800, 38.0000, 37.3600, 37.6800, 441, 260, 9995
752.4689, 759.7720, 777.7211, 766.4151, 758.8095, 753.4490, 755.9243, 755.6017, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 437, 236, 10218
752.5090, 759.8646, 777.6536, 767.2126, 759.2795, 753.8441, 756.2542, 755.9117, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 437, 221, 10368
752.4890, 759.9346, 777.7036, 766.8427, 759.1370, 753.7015, 756.1693, 755.7817, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 437, 194, 10594
752.5090, 760.0521, 777.9561, 766.5401, 758.9695, 753.5640, 756.1017, 755.6892, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 437, 179, 10743
752.5314, 760.1672, 778.0986, 766.4102, 758.9695, 753.5640, 756.0467, 755.6816, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 437, 155, 10968
752.5715, 760.3947, 778.4036, 766.4751, 758.9770, 753.4315, 755.8342, 755.3742, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 433, 140, 11119
752.5839, 760.5021, 778.7437, 766.0751, 758.7394, 753.2740, 755.7242, 755.3342, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 427, 122, 11268
752.6214, 760.5972, 779.0437, 766.1376, 758.7944, 753.3440, 755.8217, 755.3942, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 422, 107, 11418
752.6140, 760.6271, 778.9287, 765.8826, 758.6370, 753.2390, 755.6917, 755.2767, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 416, 89, 11568
752.5989, 760.3471, 778.7512, 765.9426, 758.7795, 753.3065, 755.7592, 755.3616, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 411, 74, 11718
752.6665, 760.4921, 778.8211, 766.2476, 758.9070, 753.3965, 755.8293, 755.3842, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 406, 59, 11869
752.6289, 760.4697, 778.8137, 765.9700, 758.7745, 753.3315, 755.8418, 755.4292, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 400, 41, 12018
752.6115, 760.4796, 778.6736, 765.7676, 758.6694, 753.3090, 755.7967, 755.4116, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 395, 26, 12169
752.6089, 760.4496, 778.7387, 765.5926, 758.5820, 753.1716, 755.7568, 755.4117, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 390, 11, 12318
752.6165, 760.3046, 778.5837, 765.9351, 758.7419, 753.3441, 755.8567, 755.4467, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 384, -7, 12468
752.5964, 760.3771, 778.6937, 765.9702, 758.7319, 753.3391, 755.8892, 755.4167, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 379, -22, 12618
752.6240, 760.3547, 778.7361, 765.7551, 758.5594, 753.2090, 755.7567, 755.4042, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 373, -40, 12769
752.6240, 760.3321, 778.6086, 765.6750, 758.4495, 753.1915, 755.7917, 755.3667, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 368, -55, 12919
752.5864, 760.2021, 778.5386, 765.5451, 758.3318, 753.1490, 755.7267, 755.3192, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 363, -70, 13068
752.5715, 760.2346, 778.4487, 766.1451, 758.5770, 753.2815, 755.8367, 755.3667, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 357, -88, 13219
752.6314, 760.2896, 778.6011, 765.9301, 758.4420, 753.1990, 755.7393, 755.3492, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 352, -103, 13368
752.5964, 760.2596, 778.5061, 765.7825, 758.2895, 753.1465, 755.7393, 755.3367, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 346, -121, 13518
752.5939, 760.2296, 778.4011, 765.7026, 758.3194, 753.0640, 755.6967, 755.2817, 37.0400, 36.8800, 37.5200, 37.2000, 36.8800, 38.0000, 37.3600, 37.6800, 341, -136, 13670
