1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 771.3030, 779.0513, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 38.3200, 37.3600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 483, 1301, 174
771.1080, 779.0486, 758.1069, 754.3091, 750.1863, 748.6861, 751.3364, 751.5413, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1286, 344
770.7654, 778.9537, 758.2319, 754.4391, 750.3563, 748.8337, 751.4788, 751.6514, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1274, 493
770.5280, 779.1787, 758.3194, 754.5241, 750.4587, 748.9736, 751.6689, 751.8039, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1262, 643
769.8079, 778.6312, 758.2669, 754.5591, 750.5313, 749.0036, 751.6638, 751.8289, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1250, 796
769.1479, 779.4338, 758.7545, 754.6541, 750.6788, 749.0837, 751.7689, 751.9139, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1238, 944
769.2979, 779.1287, 759.1495, 754.8892, 750.8638, 749.2187, 751.9514, 752.1014, 38.3200, 37.4133, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1226, 1093
769.4204, 778.4636, 758.6695, 754.6716, 750.7163, 749.1487, 751.8088, 751.9914, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1214, 1247
769.4004, 778.2486, 758.3719, 754.6465, 750.6188, 749.0737, 751.7514, 751.8914, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1202, 1398
769.6854, 778.0861, 758.2844, 754.5516, 750.4988, 748.9811, 751.6189, 751.8039, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1190, 1544
770.0854, 778.1386, 758.0769, 754.4666, 750.4463, 748.8911, 751.5513, 751.7064, 38.3200, 37.4133, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1181, 1694
770.6530, 778.8887, 758.6545, 754.5342, 750.5338, 748.9086, 751.5239, 751.7363, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1169, 1847
771.9756, 778.1861, 758.3069, 754.1616, 750.0262, 748.4136, 750.9888, 751.1863, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5200, 38.0000, 483, 1157, 1998
771.3355, 778.3486, 758.1519, 754.1865, 750.0737, 748.5586, 750.8913, 751.0789, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1145, 2146
769.8929, 777.4836, 757.8719, 754.1441, 750.1437, 748.6286, 751.2414, 751.4614, 38.3200, 37.4133, 38.0000, 37.3600, 37.2000, 38.3200, 37.6267, 38.0000, 483, 1130, 2298
769.8704, 777.8687, 757.8169, 754.1741, 750.1738, 748.6661, 751.2839, 751.4839, 38.3200, 37.3600, 38.0000, 37.3600, 37.2000, 38.3200, 37.5733, 38.0000, 483, 1118, 2447
