1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 761.5097, 778.5962, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 38.1600, 37.3600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 483, 1307, 123
761.4072, 778.5261, 756.5918, 752.4489, 749.5212, 749.5137, 753.2165, 753.2415, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1295, 245
761.3522, 778.6362, 756.6268, 752.5640, 749.5386, 749.5937, 753.2465, 753.2339, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8933, 483, 1283, 395
761.4097, 778.6187, 756.6768, 752.5989, 749.6887, 749.6086, 753.3340, 753.2590, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1268, 546
761.3997, 778.3561, 756.7068, 752.5589, 749.6487, 749.6787, 753.3165, 753.3040, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1256, 697
760.9597, 778.4162, 756.7117, 752.6315, 749.6387, 749.6611, 753.2990, 753.2915, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8933, 483, 1244, 848
761.1997, 778.1360, 756.9993, 752.5489, 749.5186, 749.4962, 753.2215, 753.2065, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1229, 996
761.5022, 778.1111, 756.6293, 752.4140, 749.4187, 749.3762, 753.0466, 753.0640, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1217, 1147
761.6897, 778.1387, 756.6768, 752.5715, 749.4837, 749.4661, 753.0765, 753.1089, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8933, 483, 1196, 1375
761.8172, 777.9485, 756.4568, 752.5815, 749.3462, 749.3362, 752.9590, 752.9865, 38.1600, 37.3600, 37.8400, 37.3600, 37.0400, 38.1600, 37.5200, 37.8400, 483, 1184, 1522
